time,pid,x,y,z
0,JB3156,0.0,0.0,0.0
0,CC6740,0.0,0.0,0.0
1493733882409,SA0297,0.0758,0.0273,-0.0102
1493733882455,SA0297,-0.0359,0.0794,0.0037
1493733882500,SA0297,-0.2427,-0.0861,-0.0163
1493733883945,SA0297,-0.2888,0.0514,-0.0145
1493733883953,SA0297,-0.0413,-0.0184,-0.0105
1493733883957,SA0297,-0.0413,-0.0001,0.0017
1493733883963,SA0297,-0.0286,-0.0028,-0.0094
1493733883974,SA0297,-0.0543,-0.041,-0.0109
1493733883977,SA0297,0.006999999999999999,-0.005,-0.0849
1493733883991,SA0297,-0.0561,-0.0226,0.0134
1493733883992,SA0297,-0.0558,-0.0189,-0.0021
1493733884007,SA0297,-0.0287,-0.0123,-0.0078
1493733884008,SA0297,-0.0292,-0.0008,-0.0069
1493733884023,SA0297,-0.027000000000000003,-0.0062,-0.0004
1493733884024,SA0297,-0.0174,0.005,-0.0032
1493733884041,SA0297,-0.0165,0.0052,-0.0076
1493733884043,SA0297,-0.0187,0.0113,-0.0096
1493733884057,SA0297,-0.018000000000000002,0.0161,-0.0032
1493733884059,SA0297,-0.0154,-0.0048,-0.0054
1493733884073,SA0297,-0.0081,-0.0042,-0.0035
1493733884076,SA0297,-0.0099,-0.0008,-0.0017
1493733884091,SA0297,-0.008,0.0223,-0.006999999999999999
1493733884092,SA0297,0.0028,0.0102,-0.0005
1493733884107,SA0297,-0.0207,-0.0184,-0.0002
1493733884109,SA0297,0.0076,-0.0582,-0.0041
1493733884123,SA0297,-0.0057,-0.0045,-0.0016
1493733884125,SA0297,-0.0062,0.0033,-0.0033
1493733884139,SA0297,-0.0034,-0.0028,-0.0041
1493733884140,SA0297,-0.0041,-0.0032,-0.0032
1493733884156,SA0297,-0.0016,-0.0021,-0.0026
1493733884157,SA0297,-0.0026,-0.0031,-0.0032
1493733884172,SA0297,-0.0025,-0.0005,-0.0034
1493733884173,SA0297,-0.0052,-0.0005,-0.0038
1493733884189,SA0297,-0.0009,-0.001,-0.0046
1493733884206,SA0297,-0.0009,-0.0023,-0.0032
1493733884207,SA0297,-0.0002,-0.0019,-0.004
1493733884222,SA0297,-0.0014,-0.0026,-0.0024
1493733884223,SA0297,-0.0022,0.0001,-0.0018
1493733884239,SA0297,-0.0015,0.0017,-0.0029
1493733884240,SA0297,0.0002,-0.0003,-0.005
1493733884260,SA0297,-0.0024,-0.0002,-0.0001
1493733884305,SA0297,-0.0007,-0.0006,-0.0029
1493733884350,SA0297,0.0007,-0.0032,-0.0029
1493733884400,SA0297,-0.0004,-0.0014,-0.0016
1493733884445,SA0297,-0.0026,0.0007,-0.0024
1493733884489,SA0297,-0.002,-0.0013,-0.0034
1493733884535,SA0297,-0.0013,-0.0009,-0.0013
1493733884580,SA0297,-0.001,0.0012,-0.0028
1493733884625,SA0297,-0.0029,-0.0023,-0.0043
1493733884670,SA0297,0.0,0.0,-0.0028
1493733884715,SA0297,-0.0001,-0.0014,-0.003
1493733884760,SA0297,-0.0007,-0.0014,-0.0027
1493733884805,SA0297,-0.0013,-0.0016,-0.0022
1493733884849,SA0297,0.0008,0.0029,-0.0011
